Time [s], Analyzer Name, Decoded Protocol Result
2.194607125000000,Async Serial,7
2.194867125000000,Async Serial,0
2.195127125000000,Async Serial,0
2.195387125000000,Async Serial,\r
2.199202875000000,Async Serial,O
2.199462875000000,Async Serial,K
2.199722916666667,Async Serial,\r
2.199982958333333,Async Serial,\r
2.200243000000000,Async Serial,>
2.202693375000000,Async Serial,A
2.202953375000000,Async Serial,T
2.203213375000000,Async Serial,C
2.203473375000000,Async Serial,M
2.203733375000000,Async Serial,F
2.203993375000000,Async Serial,0
2.204253416666667,Async Serial,0
2.204513416666666,Async Serial,\r
2.208329916666667,Async Serial,O
2.208589916666666,Async Serial,K
2.208849958333333,Async Serial,\r
2.209110000000000,Async Serial,\r
2.209370041666667,Async Serial,>
2.211611625000000,Async Serial,A
2.211871625000000,Async Serial,T
2.212131625000000,Async Serial,I
2.212391625000000,Async Serial,\r
2.216156791666667,Async Serial,E
2.216416833333333,Async Serial,L
2.216676875000000,Async Serial,M
2.216936875000000,Async Serial,3
2.217196916666667,Async Serial,2
2.217456958333333,Async Serial,7
2.217716958333333,Async Serial,' '
2.217977000000000,Async Serial,v
2.218237041666667,Async Serial,1
2.218497083333333,Async Serial,.
2.218757083333333,Async Serial,5
2.219017125000000,Async Serial,\r
2.219277166666667,Async Serial,\r
2.219537166666667,Async Serial,>
2.223675958333333,Async Serial,A
2.223936000000000,Async Serial,T
2.224196000000000,Async Serial,I
2.224456000000000,Async Serial,\r
2.228196166666667,Async Serial,E
2.228456208333333,Async Serial,L
2.228716250000000,Async Serial,M
2.228976250000000,Async Serial,3
2.229236291666667,Async Serial,2
2.229496333333334,Async Serial,7
2.229756333333333,Async Serial,' '
2.230016375000000,Async Serial,v
2.230276416666667,Async Serial,1
2.230536458333333,Async Serial,.
2.230796458333333,Async Serial,5
2.231056500000000,Async Serial,\r
2.231316541666667,Async Serial,\r
2.231576541666667,Async Serial,>
2.234752291666667,Async Serial,A
2.235012291666667,Async Serial,T
2.235272291666667,Async Serial,I
2.235532333333333,Async Serial,\r
2.239273416666667,Async Serial,E
2.239533458333333,Async Serial,L
2.239793500000000,Async Serial,M
2.240053541666667,Async Serial,3
2.240313541666667,Async Serial,2
2.240573583333333,Async Serial,7
2.240833625000000,Async Serial,' '
2.241093625000000,Async Serial,v
2.241353666666666,Async Serial,1
2.241613708333333,Async Serial,.
2.241873750000000,Async Serial,5
2.242133750000000,Async Serial,\r
2.242393791666667,Async Serial,\r
2.242653833333333,Async Serial,>
2.247440666666667,Async Serial,A
2.247700666666667,Async Serial,T
2.247960666666667,Async Serial,C
2.248220708333333,Async Serial,A
2.248480708333333,Async Serial,F
2.248740708333334,Async Serial,1
2.249000708333333,Async Serial,\r
2.252795000000000,Async Serial,O
2.253055000000000,Async Serial,K
2.253315041666667,Async Serial,\r
2.253575083333333,Async Serial,\r
2.253835083333333,Async Serial,>
2.256774958333333,Async Serial,A
2.257034958333333,Async Serial,T
2.257294958333333,Async Serial,T
2.257554958333333,Async Serial,P
2.257814958333333,Async Serial,6
2.258075000000000,Async Serial,\r
2.261896000000000,Async Serial,O
2.262156041666667,Async Serial,K
2.262416083333334,Async Serial,\r
2.262676125000000,Async Serial,\r
2.262936125000000,Async Serial,>
2.265849208333333,Async Serial,A
2.266109208333333,Async Serial,T
2.266369208333333,Async Serial,S
2.266629250000000,Async Serial,T
2.266889250000000,Async Serial,3
2.267149250000000,Async Serial,2
2.267409250000000,Async Serial,\r
2.271257083333333,Async Serial,O
2.271517125000000,Async Serial,K
2.271777125000000,Async Serial,\r
2.272037166666667,Async Serial,\r
2.272297208333333,Async Serial,>
2.274845458333334,Async Serial,A
2.275105500000000,Async Serial,T
2.275365500000000,Async Serial,A
2.275625500000000,Async Serial,T
2.275885500000000,Async Serial,0
2.276145500000000,Async Serial,\r
2.279916083333333,Async Serial,O
2.280176083333334,Async Serial,K
2.280436125000000,Async Serial,\r
2.280696166666667,Async Serial,\r
2.280956208333333,Async Serial,>
2.283997750000000,Async Serial,A
2.284257750000000,Async Serial,T
2.284517750000000,Async Serial,A
2.284777750000000,Async Serial,L
2.285037750000000,Async Serial,\r
2.288809083333333,Async Serial,O
2.289069125000000,Async Serial,K
2.289329166666667,Async Serial,\r
2.289589166666667,Async Serial,\r
2.289849208333333,Async Serial,>
2.292890000000000,Async Serial,A
2.293150000000000,Async Serial,T
2.293410000000000,Async Serial,S
2.293670041666667,Async Serial,H
2.293930041666667,Async Serial,0
2.294190041666667,Async Serial,0
2.294450041666667,Async Serial,0
2.294710041666667,Async Serial,7
2.294970041666667,Async Serial,E
2.295230083333333,Async Serial,0
2.295490083333333,Async Serial,\r
2.299340291666667,Async Serial,O
2.299600333333333,Async Serial,K
2.299860333333333,Async Serial,\r
2.300120375000000,Async Serial,\r
2.300380416666667,Async Serial,>
2.303836333333333,Async Serial,A
2.304096333333333,Async Serial,T
2.304356333333333,Async Serial,C
2.304616333333333,Async Serial,R
2.304876333333334,Async Serial,A
